; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:56:01 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.07478746,0,1,0
0.07478762,0,0,0
0.0747878,0,1,0
0.0747879,0,0,0
0.07478798,0,1,0
0.07478814,0,0,0
0.07478824,0,1,0
0.07478832,0,0,0
0.0747884,0,1,0
0.07478848,0,0,0
0.07478862,0,1,0
0.07478874,0,0,0
0.07478882,0,1,0
0.07478896,0,0,0
0.07478906,0,1,0
0.07478916,0,0,0
0.07478924,0,1,0
0.07478932,0,0,0
0.0747894,0,1,0
0.0747895,0,0,0
0.07478962,0,1,0
0.07478974,0,0,0
0.07478982,0,1,0
0.07478998,0,0,0
0.07479012,0,1,0
0.0747903,0,0,0
0.0747904,0,1,0
0.0747905,0,0,0
0.07479056,0,1,0
0.07479066,0,0,0
0.07479074,0,1,0
0.07479084,0,0,0
0.0747909,0,1,0
0.074791,0,0,0
0.07479108,0,1,0
0.07479116,0,0,0
0.07479124,0,1,0
0.07479134,0,0,0
0.0747914,0,1,0
0.0747915,0,0,0
0.07479164,0,1,0
0.0747918,0,0,0
0.07479198,0,1,0
0.07479216,0,0,0
0.07479224,0,1,0
0.07479234,0,0,0
0.07479248,0,1,0
0.07479266,0,0,0
0.07479282,0,1,0
0.074793,0,0,0
0.0747931,0,1,0
0.07479318,0,0,0
0.07479326,0,1,0
0.07479336,0,0,0
0.07479342,0,1,0
0.07479352,0,0,0
0.0747936,0,1,0
0.0747937,0,0,0
0.07479384,0,1,0
0.07479402,0,0,0
0.07479412,0,1,0
0.07479454,0,0,0
0.0747947,0,1,0
0.07479512,1,1,0
0.0747952,1,0,0
0.08081226,1,1,0
0.0808127,1,0,0
0.08081278,1,1,0
0.08081294,1,0,0
0.0808131,1,1,0
0.08081326,1,0,0
0.08081342,1,1,0
0.08081354,1,0,0
0.0808136,1,1,0
0.08081376,1,0,0
0.08081384,1,1,0
0.08081394,1,0,0
0.08081408,1,1,0
0.0808142,1,0,0
0.08081426,1,1,0
0.08081442,1,0,0
0.08081456,0,1,0
0.08081468,0,0,0
0.08081476,0,1,0
0.0808149,0,0,0
0.08081506,0,1,0
0.08081518,0,0,0
0.08081524,0,1,0
0.08081534,0,0,0
0.08081542,0,1,0
0.0808155,0,0,0
0.08081558,0,1,0
0.08081572,0,0,0
0.08081588,0,1,0
0.08081606,0,0,0
0.08081622,0,1,0
0.0808164,0,0,0
0.0808165,0,1,0
0.08081658,0,0,0
0.08081672,0,1,0
0.08081684,0,0,0
0.0808169,0,1,0
0.08081706,0,0,0
0.08081722,0,1,0
0.0808174,0,0,0
0.08081756,0,1,0
0.08081772,0,0,0
0.08081788,0,1,0
0.080818,0,0,0
0.08081808,0,1,0
0.08081822,0,0,0
0.0808184,0,1,0
0.08081856,0,0,0
0.08081866,0,1,0
0.08081874,0,0,0
0.08081882,0,1,0
0.08081892,0,0,0
0.08081898,0,1,0
0.08081908,0,0,0
0.08081916,0,1,0
0.08081924,0,0,0
0.08081932,0,1,0
0.08081942,0,0,0
0.0808195,0,1,0
0.08081958,0,0,0
0.08081972,0,1,0
0.08081984,0,0,0
0.0808199,0,1,0
0.08082,0,0,0
0.08082008,0,1,0
0.08082016,0,0,0
0.08082024,0,1,0
0.08082034,0,0,0
0.0808204,0,1,0
0.0808205,0,0,0
0.08082058,0,1,0
0.08082066,0,0,0
0.08082074,0,1,0
0.0808209,0,0,0
0.08082104,0,1,0
0.08082118,0,0,0
0.08082124,0,1,0
0.08082134,0,0,0
0.08082142,0,1,0
0.08082158,0,0,0
0.08082166,0,1,0
0.08082176,0,0,0
0.08082184,0,1,0
0.08082194,0,0,0
0.080822,0,1,0
0.0808221,0,0,0
0.08082218,0,1,0
0.08082228,0,0,0
0.08082242,0,1,0
0.08082254,0,0,0
0.0808226,0,1,0
0.08082276,0,0,0
0.08082286,0,1,0
0.08082294,0,0,0
0.08082302,0,1,0
0.08082312,0,0,0
0.08082318,0,1,0
0.08082328,0,0,0
0.08082338,0,1,0
0.08082346,0,0,0
0.0808236,0,1,0
0.08082372,0,0,0
0.08082432,1,0,0
0.08082444,1,1,0
0.08082496,1,0,0
0.09471824,1,1,0
0.09471856,1,0,0
0.09471872,1,1,0
0.0947189,1,0,0
0.09471898,1,1,0
0.09471908,1,0,0
0.09471914,1,1,0
0.09471924,1,0,0
0.0947193,1,1,0
0.0947194,1,0,0
0.09471954,1,1,0
0.09471972,1,0,0
0.0947198,1,1,0
0.0947199,1,0,0
0.09472002,1,1,0
0.09472016,1,0,0
0.09472022,1,1,0
0.09472038,1,0,0
0.09472054,1,1,0
0.09472064,1,0,0
0.09472072,1,1,0
0.0947208,1,0,0
0.09472088,1,1,0
0.09472092,0,1,0
0.09472102,0,0,0
0.09472112,0,1,0
0.09472122,0,0,0
0.09472128,0,1,0
0.09472138,0,0,0
0.09472146,0,1,0
0.09472154,0,0,0
0.09472162,0,1,0
0.09472172,0,0,0
0.09472184,0,1,0
0.09472202,0,0,0
0.09472218,0,1,0
0.0947223,0,0,0
0.09472236,0,1,0
0.09472252,0,0,0
0.09472262,0,1,0
0.0947227,0,0,0
0.09472278,0,1,0
0.09472286,0,0,0
0.094723,0,1,0
0.09472312,0,0,0
0.0947232,0,1,0
0.09472328,0,0,0
0.09472336,0,1,0
0.09472352,0,0,0
0.0947236,0,1,0
0.0947237,0,0,0
0.09472378,0,1,0
0.09472386,0,0,0
0.09472398,0,1,0
0.09472416,0,0,0
0.09472428,0,1,0
0.09472436,0,0,0
0.0947245,0,1,0
0.09472468,0,0,0
0.09472478,0,1,0
0.09472486,0,0,0
0.094725,0,1,0
0.09472518,0,0,0
